"survived","sex","age","class","sibsp","parch","fare","homecountry","embarked","destination"
0,"M","teen",3,"1","0","0-20","UK","S"," Canada"
1,"F","adult",1,"1","0","20-100","US","C"," US"
1,"F","adult",3,"0","0","0-20","Europe","S","New York City"
1,"F","adult",1,"1","0","20-100","US","S"," US"
0,"M","adult",3,"0","0","0-20","UK","S","New York City"
0,"M","teen",3,"0","0","0-20","UK","Q","New York City"
0,"M","senior",1,"0","0","20-100","US","S"," US"
0,"M","toddler",3,"3+","1","20-100","Europe","S"," US"
1,"F","adult",3,"0","2","0-20","US","S"," US"
1,"F","child",2,"1","0","20-100","Africa","C"," US"
1,"F","toddler",3,"1","1","0-20","Europe","S"," US"
1,"F","senior",1,"0","0","20-100","US","S"," US"
0,"M","teen",3,"0","0","0-20","UK","S","New York City"
0,"M","adult",3,"1","3+","20-100","Europe","S"," Canada"
0,"F","child",3,"0","0","0-20","Europe","S"," US"
1,"F","senior",2,"0","0","0-20","UK","S"," US"
0,"M","toddler",3,"3+","1","20-100","UK","Q"," US"
1,"M","teen",2,"0","0","0-20","UK","S"," US"
0,"F","adult",3,"1","0","0-20","Europe","S"," US"
1,"F","teen",3,"0","0","0-20","Africa","C"," US"
0,"M","adult",2,"0","0","20-100","UK","S"," Canada"
1,"M","adult",2,"0","0","0-20","UK","S"," Canada"
1,"F","teen",3,"0","0","0-20","UK","Q"," US"
1,"M","adult",1,"0","0","20-100","US","S"," US"
0,"F","child",3,"3+","1","20-100","Europe","S"," US"
1,"F","adult",3,"1","3+","20-100","Europe","S"," US"
0,"M","teen",3,"0","0","0-20","Africa","C","New York City"
0,"M","teen",1,"3+","2","200+","US","S"," Canada"
1,"F","teen",3,"0","0","0-20","UK","Q","New York City"
0,"M","teen",3,"0","0","0-20","Europe","S"," US"
0,"M","adult",1,"0","0","20-100"," Other","C"," Other"
1,"F","adult",1,"1","0","100-200","US","C"," US"
1,"F","teen",3,"0","0","0-20","UK","Q"," US"
0,"M","senior",2,"0","0","0-20"," Other","S"," US"
0,"M","adult",1,"1","0","20-100","US","C"," US"
0,"M","adult",1,"1","0","20-100","US","S"," US"
1,"M","teen",3,"0","0","0-20","Africa","C"," US"
0,"M","teen",3,"0","0","0-20","UK","S","New York City"
0,"F","teen",3,"2","0","0-20","Europe","S"," US"
1,"F","child",3,"1","0","0-20","Africa","C"," US"
0,"F","adult",3,"1","0","0-20","Europe","S"," US"
0,"F","adult",2,"1","0","20-100","UK","S"," US"
1,"F","toddler",2,"1","2","20-100","Europe","C"," US"
1,"F","teen",3,"0","0","0-20","UK","Q","New York City"
0,"M","adult",3,"0","0","0-20","UK","S","New York City"
0,"M","teen",3,"1","0","0-20","UK","Q","New York City"
1,"F","teen",3,"0","0","0-20","UK","Q"," US"
0,"M","teen",3,"2","0","20-100","Africa","C"," US"
0,"F","teen",3,"1","0","0-20","Europe","S"," US"
0,"M","child",3,"3+","1","20-100","Europe","S"," US"
0,"M","teen",3,"0","0","0-20","UK","S"," US"
1,"F","adult",1,"1","0","20-100","US","C"," US"
1,"F","adult",2,"1","0","20-100","UK","S"," US"
0,"M","senior",1,"0","1","20-100","US","C"," US"
1,"M","adult",1,"0","0","20-100","UK","S"," US"
1,"F","teen",2,"0","0","0-20"," Other","S"," US"
0,"M","teen",3,"0","0","0-20","Africa","C"," Canada"
1,"F","toddler",2,"1","2","20-100","UK","S"," US"
0,"M","child",3,"3+","2","20-100","UK","S"," US"
0,"M","teen",3,"0","0","0-20","Europe","C"," Canada"
0,"M","adult",1,"1","0","20-100","US","S"," US"
0,"M","toddler",3,"3+","2","20-100","Europe","S"," US"
0,"M","senior",1,"0","0","20-100","US","C"," US"
1,"M","child",3,"1","1","0-20","Africa","C"," US"
1,"F","adult",2,"0","0","0-20","US","S"," US"
0,"M","teen",3,"0","0","0-20","UK","S"," US"
1,"F","teen",3,"3+","2","0-20","Europe","S","New York City"
0,"M","adult",3,"2","0","0-20","Europe","S"," US"
0,"M","adult",2,"0","0","0-20","UK","S"," US"
0,"F","teen",3,"3+","2","20-100","UK","S"," US"
0,"M","teen",2,"0","0","20-100","UK","S"," Canada"
0,"M","adult",3,"1","0","0-20","Europe","C","New York City"
1,"M","adult",3,"0","0","20-100"," Other","S","New York City"
0,"M","teen",3,"0","0","0-20","Europe","S"," US"
0,"M","teen",3,"0","0","0-20","Europe","S"," US"
0,"M","adult",3,"0","0","0-20","UK","S","New York City"
1,"M","toddler",2,"0","2","20-100"," Other","S"," US"
1,"F","adult",3,"0","0","0-20","US","S","New York City"
0,"M","teen",3,"0","0","0-20","Europe","S"," US"
1,"M","adult",3,"0","0","0-20","Europe","S"," US"
1,"F","adult",3,"0","0","0-20","UK","Q"," US"
0,"M","adult",1,"0","0","20-100"," Other","S"," Other"
1,"F","teen",2,"0","0","0-20"," Other","S"," US"
1,"F","adult",3,"3+","0","0-20","Europe","S","New York City"
0,"M","teen",3,"1","3+","20-100","UK","S"," US"
0,"M","teen",3,"0","0","0-20","UK","S","New York City"
1,"F","teen",1,"3+","2","200+","US","S"," Canada"
0,"M","teen",3,"0","0","0-20","Europe","S","New York City"
0,"M","adult",3,"0","0","0-20","UK","S","New York City"
0,"M","teen",3,"0","0","0-20","Europe","S"," US"
0,"M","adult",1,"1","0","20-100","US","S"," US"
0,"M","teen",3,"1","2","20-100","UK","S"," US"
0,"M","senior",3,"0","0","0-20","UK","S"," US"
0,"M","teen",3,"0","0","0-20","UK","S"," US"
0,"M","senior",1,"0","0","20-100","US","C"," US"
1,"M","teen",1,"0","1","20-100","US","C"," US"
1,"F","adult",2,"0","1","20-100","UK","S","New York City"
0,"M","adult",2,"1","0","20-100","Europe","S"," US"
0,"F","adult",3,"0","0","0-20","Europe","S"," US"
0,"M","adult",3,"0","0","0-20","Europe","S"," US"
0,"M","teen",1,"0","1","20-100","US","S"," US"
0,"M","adult",3,"0","0","0-20","Europe","S"," US"
0,"M","adult",3,"2","0","0-20","Europe","S","New York City"
0,"M","adult",3,"0","0","0-20","Europe","S"," US"
1,"F","teen",3,"0","0","0-20","Europe","S"," US"
1,"M","adult",3,"0","0","0-20","Europe","S","New York City"
0,"M","adult",3,"0","0","0-20","Europe","S"," US"
1,"F","adult",3,"1","0","20-100","UK","Q"," US"
0,"M","adult",1,"0","0","20-100","US","S"," US"
0,"F","teen",3,"1","0","0-20","Europe","C","New York City"
0,"M","teen",3,"0","0","0-20","UK","S","New York City"
0,"F","teen",3,"1","0","0-20","Europe","S","New York City"
0,"F","teen",3,"0","0","0-20","Africa","C","New York City"
0,"M","teen",3,"0","0","0-20","Europe","S","New York City"
0,"M","senior",3,"0","0","0-20","UK","Q","New York City"
0,"M","adult",2,"1","0","20-100","UK","S"," US"
0,"M","teen",1,"0","1","200+","US","C"," Canada"
0,"F","toddler",3,"3+","2","20-100","Europe","S"," Canada"
0,"M","teen",2,"2","0","20-100","UK","S"," Canada"
0,"M","teen",3,"0","0","0-20","UK","S"," US"
0,"M","adult",2,"1","0","20-100","Africa","C"," US"
1,"F","adult",2,"0","0","0-20","UK","S"," US"
0,"M","senior",1,"0","1","20-100","US","S"," US"
1,"M","child",3,"1","0","0-20","Africa","C"," US"
0,"M","teen",3,"0","0","0-20","UK","Q","New York City"
1,"M","teen",3,"0","0","0-20","Europe","S"," US"
1,"F","toddler",3,"1","1","20-100","Europe","C"," US"
0,"M","adult",3,"0","0","0-20","US","S"," US"
0,"M","adult",3,"0","0","0-20","Europe","C","New York City"
0,"M","teen",3,"0","0","0-20","Europe","S","New York City"
0,"F","adult",3,"1","0","0-20","UK","S"," US"
1,"F","adult",2,"1","0","20-100","UK","S"," Canada"
0,"M","teen",2,"0","0","0-20","UK","S"," US"
0,"M","teen",2,"0","0","0-20","Europe","C"," Canada"
1,"F","teen",1,"0","2","20-100","US","S"," US"
0,"M","adult",1,"1","0","20-100","US","S"," US"
0,"M","teen",3,"0","0","0-20","Europe","S"," US"
0,"M","teen",1,"0","0","20-100","Europe","C"," US"
0,"F","adult",3,"0","2","0-20","Africa","C"," Canada"
1,"F","teen",3,"0","0","0-20","Europe","S"," US"
1,"F","teen",3,"1","0","0-20","Europe","S"," US"
0,"M","teen",3,"0","0","0-20","UK","Q"," US"
0,"M","teen",2,"0","0","0-20"," Other","S"," US"
0,"M","teen",2,"1","1","20-100","UK","S"," US"
1,"M","adult",3,"0","0","0-20","Europe","S"," US"
0,"F","child",3,"2","2","20-100","UK","S"," US"
0,"M","adult",2,"0","2","20-100","Europe","S","New York City"
0,"M","adult",2,"0","0","0-20","UK","S"," US"
0,"M","senior",2,"0","0","0-20","US","S"," US"
1,"F","teen",1,"1","0","20-100","UK","S"," US"
0,"M","adult",3,"0","0","0-20","UK","S"," US"
0,"M","adult",3,"0","2","0-20","UK","S"," US"
0,"M","adult",3,"0","0","0-20","Europe","S"," Canada"
0,"M","senior",1,"0","1","20-100","Europe","C"," US"
1,"F","teen",3,"0","0","0-20","UK","Q","New York City"
0,"M","adult",3,"0","0","0-20","UK","S","New York City"
0,"M","adult",3,"0","0","0-20","Europe","S","New York City"
0,"M","toddler",3,"3+","2","20-100","UK","S"," US"
0,"M","adult",3,"0","1","0-20","UK","S"," US"
1,"F","adult",2,"0","0","0-20","UK","S"," US"
0,"M","adult",3,"0","0","0-20","Europe","S"," US"
0,"M","teen",3,"0","0","0-20","Europe","S"," US"
0,"M","toddler",3,"3+","1","20-100","Europe","S"," US"
1,"M","child",3,"0","2","20-100","UK","S"," US"
1,"F","adult",1,"0","1","20-100","UK","S"," US"
0,"F","adult",3,"1","3+","20-100","Europe","S"," US"
0,"M","senior",1,"0","0","20-100","US","S"," US"
0,"M","teen",3,"0","0","20-100"," Other","S","New York City"
0,"M","senior",1,"0","0","20-100","US","S"," US"
0,"M","toddler",3,"3+","1","20-100","UK","Q"," US"
1,"F","toddler",3,"1","1","0-20","US","S"," US"
0,"M","teen",3,"0","0","0-20","US","S"," US"
0,"M","senior",1,"0","0","20-100","Europe","C"," US"
0,"M","teen",3,"1","1","0-20","Europe","S","New York City"
0,"M","toddler",3,"3+","1","20-100","Europe","S"," US"
0,"F","adult",1,"0","0","20-100","US","C"," US"
0,"M","adult",2,"0","0","0-20","US","S"," US"
0,"M","adult",3,"0","0","0-20","US","S","New York City"
0,"F","child",3,"3+","2","20-100","UK","S"," US"
0,"M","adult",2,"0","0","0-20","Europe","C"," US"
0,"M","child",3,"3+","2","20-100","Europe","S"," US"
1,"M","toddler",2,"2","1","20-100"," Other","S"," US"
1,"F","toddler",3,"0","2","20-100","Europe","S"," US"
0,"M","adult",1,"0","0","20-100","US","S"," US"
1,"F","adult",3,"1","0","0-20","UK","Q","New York City"
1,"M","adult",1,"0","0","20-100","US","S"," US"
0,"M","adult",3,"1","1","0-20","UK","Q"," US"
0,"M","adult",3,"0","0","0-20","Europe","S"," US"
1,"F","teen",2,"0","0","0-20","US","S"," US"
0,"M","teen",2,"0","0","0-20","UK","S"," US"
1,"F","teen",3,"1","0","0-20","Europe","S"," US"
1,"M","toddler",2,"1","1","20-100","Europe","S","New York City"
1,"F","adult",1,"0","0","20-100","US","C"," US"
1,"F","senior",1,"0","0","100-200","US","C"," US"
0,"M","adult",3,"0","0","0-20","UK","Q"," US"
0,"M","adult",3,"0","1","0-20","Europe","S"," US"
1,"F","teen",3,"0","0","0-20","UK","Q","New York City"
0,"F","teen",2,"0","0","0-20","Europe","S"," Canada"
0,"M","adult",3,"0","0","0-20","Europe","S","New York City"
0,"M","teen",3,"3+","2","20-100","UK","S"," US"
0,"M","adult",3,"0","0","0-20","Europe","S"," Canada"
0,"M","adult",3,"0","0","0-20","Africa","C"," US"
1,"M","teen",3,"0","0","0-20","UK","S"," US"
0,"F","toddler",3,"0","1","0-20","US","S"," US"
0,"M","adult",3,"1","0","0-20","Europe","S","New York City"
1,"M","adult",3,"0","0","0-20","US","C"," US"
1,"F","teen",3,"0","0","0-20","UK","Q","New York City"
1,"M","adult",1,"0","0","20-100","US","C"," US"
0,"M","teen",3,"0","0","0-20"," Other","S","New York City"
1,"F","adult",2,"0","0","20-100","UK","S"," US"
0,"M","teen",3,"0","0","0-20","UK","S"," Canada"
0,"M","adult",2,"0","0","0-20","Europe","S"," US"
0,"M","teen",3,"1","0","0-20","UK","Q"," US"
1,"F","adult",1,"1","0","100-200","US","C"," US"
1,"F","adult",3,"0","0","0-20","Europe","S","New York City"
0,"M","adult",2,"1","0","20-100","UK","S"," Canada"
1,"F","adult",1,"0","0","20-100","US","C"," US"
0,"M","adult",2,"0","0","0-20","UK","S","New York City"
1,"M","teen",3,"0","0","0-20","UK","S"," US"
0,"M","adult",2,"0","0","0-20","US","S"," US"
0,"M","adult",3,"0","0","0-20","UK","S"," US"
0,"M","teen",3,"0","0","0-20","Europe","S"," US"
1,"M","adult",1,"1","0","20-100","US","S"," US"
0,"M","teen",3,"0","0","0-20","Europe","S","New York City"
1,"M","teen",2,"0","0","0-20","UK","S"," US"
0,"M","teen",3,"0","0","0-20","UK","S","New York City"
0,"M","teen",2,"0","0","0-20","Europe","S"," US"
0,"F","child",3,"3+","1","20-100","Europe","S"," US"
1,"F","adult",1,"1","0","20-100","US","S"," US"
0,"M","adult",3,"0","0","0-20","Europe","S"," US"
0,"M","adult",2,"0","0","0-20","Europe","S"," US"
1,"F","toddler",3,"3+","2","20-100","Europe","S"," US"
0,"M","teen",2,"0","0","0-20","UK","S","New York City"
0,"F","teen",3,"0","0","0-20","UK","S"," US"
0,"M","adult",2,"1","0","20-100","UK","S"," US"
1,"F","child",2,"0","2","20-100","UK","S"," US"
0,"M","teen",2,"0","0","0-20","UK","S"," US"
0,"M","adult",2,"0","0","0-20","US","S"," US"
0,"F","teen",3,"1","0","0-20","Europe","C","New York City"
1,"F","teen",3,"1","0","0-20","UK","Q"," US"
